Group,ImageSet,File,Category,allsubjects_valence_mean,allsubjects_valence_sd,allsubjects_arousal_mean,allsubjects_arousal_sd,allsubjects_craving_mean,allsubjects_craving_sd,allsubjects_typicality_mean,allsubjects_typicality_sd,allsubjects_FractionNeither,allsubjects_FractionMeth,allsubjects_FractionOpioid,allsubjects_FractionBoth,allsubjects_MethToOpioid,injectionusers_valence_mean,injectionusers_valence_sd,injectionusers_arousal_mean,injectionusers_arousal_sd,injectionusers_craving_mean,injectionusers_craving_sd,injectionusers_typicality_mean,injectionusers_typicality_sd,injectionusers_FractionNeither,injectionusers_FractionMeth,injectionusers_FractionOpioid,injectionusers_FractionBoth,injectionusers_MethToOpioid,noninjectionusers_valence_mean,noninjectionusers_valence_sd,noninjectionusers_arousal_mean,noninjectionusers_arousal_sd,noninjectionusers_craving_mean,noninjectionusers_craving_sd,noninjectionusers_typicality_mean,noninjectionusers_typicality_sd,noninjectionusers_FractionNeither,noninjectionusers_FractionMeth,noninjectionusers_FractionOpioid,noninjectionusers_FractionBoth,noninjectionusers_MethToOpioid,hue_mean,hue_sd,saturation_mean,saturation_sd,value_mean,value_sd,p_cravingdelta_injectionVnon,selection_cost,category_number,selected,in_set,IAPS,desc,valsd,arosd,dom1mn,dom1sd,dom2mn,dom2sd,set,rajita_used,possible_option,selection_group
opioid Slide062.jpeg,opioid,Slide062.jpeg,opioid_injection_instrument,4.29,1.997,4.68,2.91,89.93,14.6,91,15.82,0,0,0.42857,0.57143,0.42857,4.33,2.058,4.95,2.8,89.14,16.32,89.57,17.94,0,0,0.47619,0.52381,0.47619,4.14,1.952,3.86,3.29,92.29,7.95,95.29,4.89,0,0,0.28571,0.7143,0.28571,0.085,0.056,0.501,0.207,0.58,0.178,0.50714,0.109026,3,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide032.jpeg,opioid,Slide032.jpeg,opioid_hand,4.63,1.735,4.37,2.32,83.33,21.79,85.48,19.22,0.03704,0,0.88889,0.07407,0.88889,4.8,1.673,4.4,2.19,80.8,23.99,83.05,21.25,0.05,0,0.85,0.1,0.85,4.14,1.952,4.29,2.87,90.57,12.35,92.43,9.73,0,0,1,0,1,0.099,0.053,0.483,0.241,0.528,0.198,0.18406,0.111474,2,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide067.jpeg,opioid,Slide067.jpeg,opioid_injection_instrument,4.56,1.577,4.52,2.5,76.96,31.13,82.19,24.81,0.11111,0.14815,0.55556,0.18519,0.40741,4.5,1.67,4.7,2.41,82.4,25.21,83.5,21.41,0.05,0.15,0.6,0.2,0.45,4.71,1.38,4,2.89,61.43,42.52,78.43,34.56,0.28571,0.14286,0.42857,0.1429,0.28571,0.217,0.245,0.466,0.24,0.48,0.241,0.25525,0.112245,3,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide038.jpeg,opioid,Slide038.jpeg,opioid_injection_instrument,4.29,1.979,4.71,2.93,89,25.14,91.71,19.82,0,0.32143,0.17857,0.5,-0.14286,4.43,1.859,5.05,2.85,87,28.62,90.38,22.56,0,0.33333,0.09524,0.57143,-0.2381,3.86,2.41,3.71,3.15,95,7.64,95.71,6.87,0,0.28571,0.42857,0.2857,0.14286,0.085,0.039,0.701,0.165,0.196,0.168,0.25569,0.115442,3,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide064.jpeg,opioid,Slide064.jpeg,opioid_injection_instrument,4.41,2.099,4.7,2.93,89.67,15.92,91.63,14.48,0.03704,0.33333,0.14815,0.48148,-0.18519,4.55,2.139,4.8,2.86,88.35,18.2,90.65,16.51,0.05,0.3,0.15,0.5,-0.15,4,2.082,4.43,3.36,93.43,5.16,94.43,5.74,0,0.42857,0.14286,0.4286,-0.28571,0.111,0.119,0.537,0.126,0.29,0.101,0.27125,0.12119,3,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide002.jpeg,opioid,Slide002.jpeg,opioid,4.74,1.655,4.56,2.64,81.81,22.99,83.26,22.42,0,0,0.96296,0.03704,0.96296,4.8,1.824,4.55,2.8,82.5,23.93,85.2,22.9,0,0,0.95,0.05,0.95,4.57,1.134,4.57,2.3,79.86,21.7,77.71,21.65,0,0,1,0,1,0.164,0.114,0.459,0.352,0.427,0.327,0.79202,0.122906,1,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide030.jpeg,opioid,Slide030.jpeg,opioid_hand,4.89,1.499,4.57,2.78,85.96,21.98,89.25,21.96,0.03571,0.46429,0.07143,0.42857,-0.39286,4.9,1.446,4.86,2.78,84,24.76,87,24.84,0,0.52381,0.04762,0.42857,-0.47619,4.86,1.773,3.71,2.81,91.86,8.8,96,6.45,0.14286,0.28571,0.14286,0.4286,-0.14286,0.324,0.333,0.468,0.139,0.481,0.327,0.22678,0.125961,2,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide065.jpeg,opioid,Slide065.jpeg,opioid_injection_instrument,4.26,1.913,4.96,2.65,86.67,18.84,87.3,18.95,0,0.07407,0.7037,0.22222,0.62963,4.45,1.986,5.4,2.58,87.6,19.18,86.95,19.86,0,0,0.75,0.25,0.75,3.71,1.704,3.71,2.63,84,19.01,88.29,17.48,0,0.28571,0.57143,0.1429,0.28571,0.258,0.306,0.507,0.357,0.298,0.201,0.67562,0.130017,3,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide011.jpeg,opioid,Slide011.jpeg,opioid,4.89,1.663,4.61,2.41,89.14,14.61,89.86,14.33,0,0,0.89286,0.10714,0.89286,5,1.581,4.71,2.35,90.76,13.25,90.71,12.73,0,0,0.90476,0.09524,0.90476,4.57,1.988,4.29,2.75,84.29,18.38,87.29,19.33,0,0,0.85714,0.1429,0.85714,0.091,0.125,0.439,0.239,0.503,0.255,0.41398,0.142211,1,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide082.jpeg,opioid,Slide082.jpeg,opioid_instrument_hand,4.29,1.761,4.79,2.79,91.64,13.88,93.36,13.47,0,0.21429,0.32143,0.46429,0.10714,4.33,1.713,5.14,2.65,91.14,15.37,93.38,15.1,0,0.19048,0.42857,0.38095,0.2381,4.14,2.035,3.71,3.15,93.14,8.69,93.29,7.52,0,0.28571,0,0.7143,-0.28571,0.443,0.27,0.576,0.282,0.281,0.284,0.67489,0.157186,4,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide087.jpeg,opioid,Slide087.jpeg,opioid_instrument_hand,4.3,1.54,4.63,2.6,88.52,15.71,88.78,17.08,0,0.11111,0.7037,0.18519,0.59259,4.35,1.424,4.75,2.45,87.65,17.51,87.3,19.45,0,0,0.85,0.15,0.85,4.14,1.952,4.29,3.2,91,9.43,93,6.19,0,0.42857,0.28571,0.2857,-0.14286,0.102,0.108,0.485,0.328,0.261,0.235,0.53422,0.16595,4,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide107.jpeg,opioid,Slide107.jpeg,opioid_face_activities,4.41,2.135,4.48,2.68,87.37,18.41,89.93,16.64,0,0.14815,0.03704,0.81481,-0.11111,4.6,2.088,4.8,2.59,86.35,20.55,88.35,18.82,0,0.05,0.05,0.9,0,3.86,2.34,3.57,2.94,90.29,10.9,94.43,6.85,0,0.42857,0,0.5714,-0.42857,0.088,0.069,0.431,0.213,0.339,0.282,0.53084,0.174626,6,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide091.jpeg,opioid,Slide091.jpeg,opioid_injection_hand,4.43,2.08,5.25,3,95.39,9.92,94.82,10.58,0,0,0.53571,0.46429,0.53571,4.57,2.111,5.67,2.8,95.43,11.19,94,12.07,0,0,0.57143,0.42857,0.57143,4,2.082,4,3.46,95.29,5.02,97.29,2.81,0,0,0.42857,0.5714,0.42857,0.069,0.054,0.406,0.14,0.574,0.17,0.96356,0.177873,5,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide115.jpeg,opioid,Slide115.jpeg,opioid_face_activities,4.3,2.016,4.89,2.72,86.56,18.87,88.22,18.27,0,0.03704,0.40741,0.55556,0.37037,4.5,2.115,5.25,2.67,88.55,17.78,88.65,18.91,0,0,0.5,0.5,0.5,3.71,1.704,3.86,2.79,80.86,22.17,87,17.64,0,0.14286,0.14286,0.7143,0,0.188,0.31,0.466,0.309,0.205,0.222,0.42861,0.198725,6,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide105.jpeg,opioid,Slide105.jpeg,opioid_face_activities,4.61,1.595,4.39,2.73,85.57,19.36,91.46,13.64,0,0,0.57143,0.42857,0.57143,4.81,1.401,4.81,2.75,85.19,20.32,90.62,15.22,0,0,0.61905,0.38095,0.61905,4,2.082,3.14,2.41,86.71,17.54,94,7.44,0,0,0.42857,0.5714,0.42857,0.169,0.25,0.366,0.206,0.381,0.253,0.8517,0.203478,6,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control Slide106.jpeg,control,Slide106.jpeg,control_tool_face,4.85,1.231,2.67,1.98,8.85,17.73,9.44,17.56,1,0,0,0,0,4.7,1.342,2.8,2.04,8.35,18.06,8.85,17.9,1,0,0,0,0,5.29,0.756,2.29,1.89,10.29,18.05,11.14,17.81,1,0,0,0,0,0.254,0.374,0.559,0.233,0.512,0.272,0.81182,0.215941,6,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide031.jpeg,opioid,Slide031.jpeg,opioid_hand,4.64,1.87,4.61,2.69,91.32,12.72,94.14,10.14,0.07143,0.5,0.03571,0.39286,-0.46429,4.76,1.895,4.9,2.53,91.43,12.82,93.05,11.47,0.04762,0.52381,0,0.42857,-0.52381,4.29,1.89,3.71,3.15,91,13.39,97.43,2.7,0.14286,0.42857,0.14286,0.2857,-0.28571,0.405,0.353,0.392,0.209,0.413,0.264,0.9424,0.216058,2,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide080.jpeg,opioid,Slide080.jpeg,opioid_instrument_hand,4.5,1.934,4.57,2.92,90.29,14.88,92.18,13.5,0.03571,0.21429,0.10714,0.64286,-0.10714,4.76,1.868,4.9,2.81,89.1,16.32,91.1,15.22,0,0.2381,0.04762,0.71429,-0.19048,3.71,2.059,3.57,3.26,93.86,9.42,95.43,5.62,0.14286,0.14286,0.28571,0.4286,0.14286,0.211,0.232,0.335,0.169,0.5,0.316,0.3566,0.216346,4,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide103.jpeg,opioid,Slide103.jpeg,opioid_face_activities,4.07,2.035,4.89,2.99,91,19.21,92.14,19.36,0.03571,0.03571,0.25,0.67857,0.21429,4.1,2.071,5.29,2.9,90.24,21.34,90.57,22.18,0.04762,0,0.33333,0.61905,0.33333,4,2.082,3.71,3.15,93.29,11.61,96.86,3.44,0,0.14286,0,0.8571,-0.14286,0.104,0.158,0.345,0.235,0.538,0.22,0.6392,0.217685,6,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide114.jpeg,opioid,Slide114.jpeg,opioid_face_activities,4.25,1.936,4.57,2.86,86.46,22.44,91.71,13.62,0,0.10714,0.39286,0.5,0.28571,4.52,1.887,4.95,2.77,85.62,25.06,90.81,15.13,0,0.09524,0.38095,0.52381,0.28571,3.43,1.988,3.43,3.05,89,12.73,94.43,7.74,0,0.14286,0.42857,0.4286,0.28571,0.48,0.329,0.695,0.316,0.139,0.172,0.64731,0.219746,6,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide039.jpeg,opioid,Slide039.jpeg,opioid_injection_instrument,4.26,1.852,4.26,2.65,87.63,17.96,87.44,18.16,0.03704,0.33333,0.2963,0.33333,-0.03704,4.45,1.905,4.6,2.7,87.85,18.11,87,18.54,0.05,0.35,0.2,0.4,-0.15,3.71,1.704,3.29,2.43,87,18.95,88.71,18.38,0,0.28571,0.57143,0.1429,0.28571,0.394,0.406,0.38,0.205,0.579,0.219,0.91973,0.220277,3,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide075.jpeg,opioid,Slide075.jpeg,opioid_instrument_hand,4.36,1.66,4.82,2.76,91.18,15.32,92.89,13.15,0,0.10714,0.42857,0.46429,0.32143,4.43,1.69,5.19,2.6,92.52,14.84,92.05,14.97,0,0.09524,0.52381,0.38095,0.42857,4.14,1.676,3.71,3.15,87.14,17.23,95.43,4.61,0,0.14286,0.14286,0.7143,0,0.2,0.28,0.383,0.213,0.277,0.233,0.47788,0.223618,4,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide056.jpeg,opioid,Slide056.jpeg,opioid_injection_instrument,4.59,2.024,4.52,2.87,83.96,24.47,89.41,16.93,0,0.03704,0.48148,0.48148,0.44444,4.7,2.029,4.8,2.82,83.3,26.74,89.9,17.08,0,0.05,0.5,0.45,0.45,4.29,2.138,3.71,3.09,85.86,18.04,88,17.78,0,0,0.42857,0.5714,0.42857,0.608,0.157,0.701,0.249,0.269,0.24,0.78163,0.229626,3,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide066.jpeg,opioid,Slide066.jpeg,opioid_injection_instrument,4.54,2.009,4.71,2.84,92.46,13.42,94.18,11.24,0,0.10714,0.46429,0.42857,0.35714,4.67,2.058,5,2.7,93.43,11.82,93.52,12.79,0,0.09524,0.57143,0.33333,0.47619,4.14,1.952,3.86,3.29,89.57,18.2,96.14,4.14,0,0.14286,0.14286,0.7143,0,0.256,0.302,0.437,0.448,0.191,0.297,0.61426,0.230386,3,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide008.jpeg,opioid,Slide008.jpeg,opioid,4.85,1.634,4.3,2.77,83.44,19.71,84.48,19.66,0.03704,0,0.96296,0,0.96296,5.05,1.669,4.75,2.75,83.8,19.82,83.75,20.46,0,0,1,0,1,4.29,1.496,3,2.58,82.43,20.93,86.57,18.51,0.14286,0,0.85714,0,0.85714,0.181,0.261,0.318,0.42,0.459,0.354,0.88277,0.234366,1,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide109.jpeg,opioid,Slide109.jpeg,opioid_face_activities,4.25,1.917,4.86,2.72,92.54,13.96,94.36,10.13,0,0.14286,0.46429,0.39286,0.32143,4.43,1.72,5.24,2.43,93.19,12.73,93.81,11.47,0,0.09524,0.52381,0.38095,0.42857,3.71,2.498,3.71,3.4,90.57,18.17,96,4.36,0,0.28571,0.28571,0.4286,0,0.137,0.142,0.325,0.199,0.426,0.318,0.73281,0.23507,6,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide069.jpeg,opioid,Slide069.jpeg,opioid_instrument_hand,4.36,1.85,4.71,2.85,91.29,13.93,92,13.84,0,0.07143,0.17857,0.75,0.10714,4.43,1.72,4.95,2.67,89.62,15.45,90.1,15.49,0,0.04762,0.2381,0.71429,0.19048,4.14,2.34,4,3.46,96.29,6.16,97.71,3.3,0,0.14286,0,0.8571,-0.14286,0.251,0.191,0.375,0.268,0.27,0.323,0.11636,0.236126,4,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide104.jpeg,opioid,Slide104.jpeg,opioid_face_activities,4.19,2.149,4.56,2.74,87.59,15.96,88.63,16.57,0.03704,0.07407,0.11111,0.77778,0.03704,4.35,2.059,4.7,2.68,87.35,16.81,87.45,18.7,0.05,0,0.15,0.8,0.15,3.71,2.498,4.14,3.08,88.29,14.41,92,8,0,0.28571,0,0.7143,-0.28571,0.519,0.197,0.447,0.234,0.385,0.2,0.88985,0.239595,6,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide093.jpeg,opioid,Slide093.jpeg,opioid_injection_hand,4,2.073,5.36,2.93,95.5,9.95,94.25,11.13,0,0.10714,0.21429,0.67857,0.10714,4.1,2.022,5.76,2.64,95.52,11.26,94.19,11.59,0,0.04762,0.28571,0.66667,0.2381,3.71,2.36,4.14,3.63,95.43,4.72,94.43,10.49,0,0.28571,0,0.7143,-0.28571,0.184,0.189,0.314,0.204,0.566,0.275,0.97524,0.240808,5,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide049.jpeg,opioid,Slide049.jpeg,opioid_injection_instrument,4.39,1.912,4.86,2.77,92.79,13.12,92.64,12.64,0,0.28571,0.07143,0.64286,-0.21429,4.57,1.832,5.14,2.63,91.9,14.82,93.43,12.38,0,0.28571,0.04762,0.66667,-0.2381,3.86,2.193,4,3.21,95.43,5.62,90.29,14.13,0,0.28571,0.14286,0.5714,-0.14286,0.236,0.226,0.312,0.283,0.43,0.202,0.37101,0.24434,3,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide009.jpeg,opioid,Slide009.jpeg,opioid,4.59,1.866,4.41,2.82,85.78,17.75,87.67,17.27,0.03704,0,0.96296,0,0.96296,4.75,1.832,4.7,2.77,85.65,18.72,86.25,19.37,0.05,0,0.95,0,0.95,4.14,2.035,3.57,2.99,86.14,15.97,91.71,8.83,0,0,1,0,1,0.305,0.285,0.379,0.35,0.26,0.328,0.94759,0.245866,1,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
control Slide007.jpeg,control,Slide007.jpeg,control_objects,5.11,0.577,2.89,2.12,13.89,27.42,15.67,28.19,0.96296,0,0.03704,0,0.03704,5.05,0.51,2.85,2.01,8.65,18.04,11.2,20.03,1,0,0,0,0,5.29,0.756,3,2.58,28.86,43.29,28.43,43.78,0.85714,0,0.14286,0,0.14286,0.3,0.399,0.513,0.227,0.517,0.26,0.27094,0.247458,1,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide085.jpeg,opioid,Slide085.jpeg,opioid_instrument_hand,4.14,2.013,4.75,2.9,90.61,20.79,89.36,21.45,0.03571,0.07143,0.75,0.14286,0.67857,4.1,1.998,5.1,2.81,90.14,23.37,87.33,24.35,0.04762,0,0.85714,0.09524,0.85714,4.29,2.215,3.71,3.15,92,11.08,95.43,6.11,0,0.28571,0.42857,0.2857,0.14286,0.287,0.326,0.31,0.168,0.458,0.241,0.78091,0.249433,4,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide111.jpeg,opioid,Slide111.jpeg,opioid_face_activities,4.07,2.129,4.67,2.75,90.78,14.5,89.78,17.9,0,0.11111,0.51852,0.37037,0.40741,4.2,2.067,5,2.62,89.7,16.49,88.4,20.46,0,0.05,0.65,0.3,0.6,3.71,2.43,3.71,3.09,93.86,5.96,93.71,6.24,0,0.28571,0.14286,0.5714,-0.14286,0.111,0.066,0.318,0.221,0.387,0.225,0.34518,0.253014,6,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide010.jpeg,opioid,Slide010.jpeg,opioid,4.85,1.657,4.15,2.74,82.96,18.45,84.56,18.46,0.03704,0,0.92593,0.03704,0.92593,5.05,1.572,4.2,2.73,80.9,20.1,82.25,20.52,0.05,0,0.9,0.05,0.9,4.29,1.89,4,3,88.86,11.84,91.14,8.73,0,0,1,0,1,0.253,0.21,0.317,0.305,0.313,0.253,0.22541,0.271067,1,TRUE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide100.jpeg,opioid,Slide100.jpeg,opioid_injection_hand,4.19,2.167,5.11,2.89,90.59,15.88,91.04,15.79,0,0.11111,0.03704,0.85185,-0.07407,4.2,2.167,5.35,2.76,90.15,17.75,89.9,18.02,0,0.05,0.05,0.9,0,4.14,2.34,4.43,3.36,91.86,9.58,94.29,5.96,0,0.28571,0,0.7143,-0.28571,0.178,0.224,0.281,0.152,0.56,0.236,0.75401,0.273445,5,TRUE,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
opioid Slide063.jpeg,opioid,Slide063.jpeg,opioid_injection_instrument,4.41,2.062,4.56,2.79,84.67,23.89,85.81,23.7,0,0,0.66667,0.33333,0.66667,4.5,2.013,4.75,2.81,83,27.12,83.55,27.03,0,0,0.65,0.35,0.65,4.14,2.34,4,2.89,89.43,10.42,92.29,7.43,0,0,0.71429,0.2857,0.71429,0.087,0.092,0.32,0.13,0.677,0.132,0.38258,0.274498,3,TRUE,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
