orderNum,text,url,millisecondsOnPage,responseDelay,subjectId,response
0,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects/control_objects10.jpg,31920,31920,AU922,5
0,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects/control_objects11.jpg,11320,11320,AL473,5
0,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects/control_objects08.jpg,8095,8095,AW709,5
0,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects/control_objects01.jpg,12365,12365,AR005,50
0,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects/control_objects06.jpg,10665,6065,AL550,0
0,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects/control_objects06.jpg,22165,10805,AR560,2
0,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects/control_objects12.jpg,13665,8565,AL016,9
0,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects/control_objects07.jpg,9075,7870,AL914,3
0,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects/control_objects12.jpg,6150,5205,AQ029,1
0,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects/control_objects02.jpg,7325,5635,AV940,9
0,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects/control_objects03.jpg,7515,6065,AR868,0
0,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects/control_objects10.jpg,31920,31920,AU922,5
0,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects/control_objects11.jpg,7025,4905,AL473,0
0,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects/control_objects08.jpg,17400,8055,AW709,60
0,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects/control_objects11.jpg,7935,6115,AL473,0
0,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects/control_objects08.jpg,17100,9020,AW709,49
0,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects/control_objects06.jpg,8505,6245,AL550,100
0,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects/control_objects07.jpg,7480,6245,AL914,2
0,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects/control_objects06.jpg,14765,14765,AR560,50
0,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects/control_objects12.jpg,6130,4835,AL016,0
0,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects/control_objects12.jpg,5170,4155,AQ029,0
0,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects/control_objects02.jpg,23485,8590,AV940,28
0,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects/control_objects01.jpg,8290,6235,AR005,1
0,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects/control_objects03.jpg,15490,10895,AR868,10
0,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects/control_objects10.jpg,33450,31495,AU922,28
1,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_hands/substance_hands031.jpg,10955,8230,AU922,1
1,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_injection_hands/substance_injection_hands083.jpg,7070,6315,AL914,1
1,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_tools/control_tools14.jpg,6145,4270,AV940,0
1,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects_hands/control_objects_hands36.jpg,10300,8670,AL550,0
1,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_instruments/substance_instruments056.jpg,6015,3375,AL473,1
1,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance/substance020.jpg,7345,5780,AL016,1
1,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_injection_instruments/substance_injection_instruments119.jpg,6200,5505,AQ029,1
1,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_hands/substance_hands027.jpg,12135,4875,AR005,1
1,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_hands/substance_hands032.jpg,8680,7245,AR868,1
1,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_tools_hands/control_tools_hands59.jpg,9095,7920,AR560,0
1,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_injection_hands/substance_injection_hands088.jpg,27425,26600,AW709,1
1,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_tools/control_tools14.jpg,14500,12295,AV940,6
1,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_injection_hands/substance_injection_hands083.jpg,11155,7945,AL914,2
1,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_instruments/substance_instruments056.jpg,27420,21390,AL473,3
1,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance/substance020.jpg,4185,3235,AL016,9
1,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_hands/substance_hands031.jpg,20510,18465,AU922,2
1,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects_hands/control_objects_hands36.jpg,8765,8765,AL550,5
1,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_injection_instruments/substance_injection_instruments119.jpg,7035,4820,AQ029,1
1,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_hands/substance_hands027.jpg,10060,10060,AR005,5
1,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_hands/substance_hands032.jpg,9980,6315,AR868,5
1,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_tools_hands/control_tools_hands59.jpg,4240,2560,AR560,1
1,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_injection_hands/substance_injection_hands088.jpg,11565,8505,AW709,1
1,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_injection_hands/substance_injection_hands083.jpg,8410,5595,AL914,5
1,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_instruments/substance_instruments056.jpg,11480,4345,AL473,7
1,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects_hands/control_objects_hands36.jpg,12980,7660,AL550,1
1,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_injection_instruments/substance_injection_instruments119.jpg,4830,3760,AQ029,6
1,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_hands/substance_hands027.jpg,9835,7365,AR005,6
1,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_hands/substance_hands032.jpg,7215,5155,AR868,1
1,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_hands/substance_hands031.jpg,51285,49000,AU922,7
1,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_tools_hands/control_tools_hands59.jpg,6990,5905,AR560,1
1,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_tools/control_tools14.jpg,7005,5235,AV940,4
1,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_injection_hands/substance_injection_hands088.jpg,11735,7725,AW709,7
1,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance/substance020.jpg,4205,3305,AL016,1
1,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_injection_hands/substance_injection_hands083.jpg,8125,5815,AL914,95
1,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_injection_instruments/substance_injection_instruments119.jpg,11460,9990,AQ029,100
1,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_instruments/substance_instruments056.jpg,13995,5050,AL473,80
1,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_hands/substance_hands032.jpg,14935,8950,AR868,40
1,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects_hands/control_objects_hands36.jpg,6630,4895,AL550,0
1,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_hands/substance_hands027.jpg,13245,10970,AR005,98
1,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_hands/substance_hands031.jpg,15375,12230,AU922,100
1,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_tools_hands/control_tools_hands59.jpg,3985,3045,AR560,0
1,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_tools/control_tools14.jpg,8035,6455,AV940,9
1,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_injection_hands/substance_injection_hands088.jpg,7655,5060,AW709,100
1,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance/substance020.jpg,6640,4785,AL016,99
1,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance_injection_hands/substance_injection_hands083.jpg,8590,7390,AL914,99
1,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance_injection_instruments/substance_injection_instruments119.jpg,6380,5020,AQ029,80
1,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance_injection_hands/substance_injection_hands088.jpg,12500,9300,AW709,97
1,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance_instruments/substance_instruments056.jpg,8125,6200,AL473,100
1,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance_hands/substance_hands032.jpg,13280,7875,AR868,61
1,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance_hands/substance_hands027.jpg,14200,12550,AR005,99
1,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects_hands/control_objects_hands36.jpg,4560,3060,AL550,100
1,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance_hands/substance_hands031.jpg,26475,23880,AU922,99
1,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_tools_hands/control_tools_hands59.jpg,9890,4785,AR560,24
1,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_tools/control_tools14.jpg,4655,4655,AV940,50
1,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance/substance020.jpg,21850,7735,AL016,100
2,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_instruments/substance_instruments035.jpg,6920,2950,AL914,1
2,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_hands/substance_hands023.jpg,7180,5450,AR560,1
2,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_instruments/substance_instruments034.jpg,3590,3135,AL016,1
2,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects02.jpg,5105,4240,AL473,0
2,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance/substance003.jpg,6350,4525,AR005,1
2,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects_hands/control_objects_hands25.jpg,12065,8910,AR868,0
2,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_injection_hands/substance_injection_hands079.jpg,8225,4170,AL550,1
2,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_instruments/substance_instruments037.jpg,4710,3685,AQ029,1
2,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_activities_faces/substance_activities_faces108.jpg,8190,6080,AW709,1
2,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_instruments/substance_instruments037.jpg,9170,6945,AV940,1
2,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_tools_hands/control_tools_hands44.jpg,9985,8310,AU922,0
2,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_hands/substance_hands023.jpg,18260,5125,AR560,3
2,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_instruments/substance_instruments035.jpg,3375,3370,AL914,5
2,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_instruments/substance_instruments034.jpg,4455,3525,AL016,9
2,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_tools_hands/control_tools_hands44.jpg,8960,6520,AU922,3
2,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance/substance003.jpg,12750,11340,AR005,6
2,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects_hands/control_objects_hands25.jpg,4275,2895,AR868,5
2,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_instruments/substance_instruments037.jpg,10390,7175,AQ029,2
2,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_activities_faces/substance_activities_faces108.jpg,9835,4000,AW709,4
2,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects02.jpg,5675,5675,AL473,5
2,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_instruments/substance_instruments037.jpg,6660,3430,AV940,1
2,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_injection_hands/substance_injection_hands079.jpg,13180,11310,AL550,1
2,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_instruments/substance_instruments035.jpg,5695,4205,AL914,6
2,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance/substance003.jpg,12905,10965,AR005,7
2,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects_hands/control_objects_hands25.jpg,11350,10050,AR868,1
2,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_instruments/substance_instruments037.jpg,13385,6480,AV940,6
2,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_instruments/substance_instruments037.jpg,5375,3885,AQ029,6
2,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_tools_hands/control_tools_hands44.jpg,9115,6100,AU922,3
2,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_activities_faces/substance_activities_faces108.jpg,6095,4705,AW709,6
2,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects/control_objects02.jpg,5795,4095,AL473,1
2,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_injection_hands/substance_injection_hands079.jpg,7980,3870,AL550,6
2,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_hands/substance_hands023.jpg,10290,9025,AR560,7
2,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_instruments/substance_instruments034.jpg,2785,2040,AL016,1
2,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_instruments/substance_instruments037.jpg,7120,5865,AQ029,99
2,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects_hands/control_objects_hands25.jpg,24820,21360,AR868,0
2,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_instruments/substance_instruments037.jpg,8760,5900,AV940,30
2,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance/substance003.jpg,5775,3965,AR005,99
2,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_tools_hands/control_tools_hands44.jpg,13110,11170,AU922,23
2,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_activities_faces/substance_activities_faces108.jpg,11955,5645,AW709,91
2,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects/control_objects02.jpg,7645,6275,AL473,0
2,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_instruments/substance_instruments035.jpg,5240,3975,AL914,75
2,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_hands/substance_hands023.jpg,9045,5675,AR560,68
2,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_instruments/substance_instruments034.jpg,4230,3155,AL016,94
2,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_injection_hands/substance_injection_hands079.jpg,5335,3635,AL550,100
2,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance_instruments/substance_instruments037.jpg,4340,3290,AQ029,99
2,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance_injection_hands/substance_injection_hands079.jpg,4460,3115,AL550,100
2,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects_hands/control_objects_hands25.jpg,4875,3370,AR868,19
2,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance/substance003.jpg,8100,8100,AR005,50
2,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance_instruments/substance_instruments037.jpg,12700,10650,AV940,86
2,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_tools_hands/control_tools_hands44.jpg,24960,22970,AU922,14
2,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance_activities_faces/substance_activities_faces108.jpg,8085,5120,AW709,92
2,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance_instruments/substance_instruments035.jpg,4450,3345,AL914,87
2,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance_hands/substance_hands023.jpg,16820,14125,AR560,99
2,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects/control_objects02.jpg,4175,2190,AL473,0
2,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/substance_instruments/substance_instruments034.jpg,4390,3120,AL016,98
3,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_tools/control_tools18.jpg,4230,3115,AL473,0
3,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_tools_faces/control_tools_faces68.jpg,5035,4295,AL550,0
3,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_objects/control_objects11.jpg,10865,3845,AR560,0
3,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_instruments_hands/substance_instruments_hands057.jpg,5790,3845,AQ029,1
3,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/control_tools_faces/control_tools_faces69.jpg,5585,4665,AL914,0
3,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_injection_instruments/substance_injection_instruments110.jpg,8505,6705,AV940,1
3,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_injection_hands/substance_injection_hands077.jpg,39595,38295,AU922,1
3,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_injection_hands/substance_injection_hands080.jpg,8235,5205,AR005,1
3,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_hands/substance_hands032.jpg,7130,6435,AW709,1
3,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance_hands/substance_hands024.jpg,8625,6455,AR868,1
3,"<p>Is this picture related to methamphetamine and its use or not?</p>",/static/substance/substance013.jpg,3770,3170,AL016,1
3,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_injection_hands/substance_injection_hands077.jpg,16720,13270,AU922,1
3,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_objects/control_objects11.jpg,3040,3040,AR560,5
3,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_tools_faces/control_tools_faces68.jpg,4925,4925,AL550,5
3,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_tools/control_tools18.jpg,7275,7275,AL473,5
3,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_instruments_hands/substance_instruments_hands057.jpg,7265,6030,AQ029,3
3,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/control_tools_faces/control_tools_faces69.jpg,12925,11535,AL914,3
3,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_injection_instruments/substance_injection_instruments110.jpg,7275,5430,AV940,2
3,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_injection_hands/substance_injection_hands080.jpg,8210,5720,AR005,2
3,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_hands/substance_hands032.jpg,7215,7215,AW709,5
3,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance_hands/substance_hands024.jpg,7825,6120,AR868,5
3,"<p>After seeing this picture, please describe your mood, from negative to positive</p>",/static/substance/substance013.jpg,3670,2540,AL016,9
3,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_objects/control_objects11.jpg,4825,4825,AR560,5
3,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_tools_faces/control_tools_faces68.jpg,7430,5085,AL550,5
3,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_injection_instruments/substance_injection_instruments110.jpg,25735,6955,AV940,7
3,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_injection_hands/substance_injection_hands077.jpg,14865,5795,AU922,9
3,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_tools/control_tools18.jpg,7655,5920,AL473,1
3,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance/substance013.jpg,3035,1925,AL016,1
3,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/control_tools_faces/control_tools_faces69.jpg,5595,4735,AL914,2
3,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_injection_hands/substance_injection_hands080.jpg,12890,11820,AR005,4
3,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_hands/substance_hands032.jpg,7885,5985,AW709,5
3,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_hands/substance_hands024.jpg,4080,2550,AR868,1
3,"<p>After seeing this picture, please describe level of arousal, from calm to excited</p>",/static/substance_instruments_hands/substance_instruments_hands057.jpg,7205,5825,AQ029,7
3,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_objects/control_objects11.jpg,6605,5580,AR560,0
3,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_tools_faces/control_tools_faces68.jpg,8590,7140,AL550,0
3,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_injection_instruments/substance_injection_instruments110.jpg,6745,4765,AV940,83
3,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_injection_hands/substance_injection_hands077.jpg,13065,6670,AU922,99
3,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_tools/control_tools18.jpg,4420,2655,AL473,0
3,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance/substance013.jpg,4930,4075,AL016,99
3,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_hands/substance_hands024.jpg,5875,3785,AR868,72
3,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/control_tools_faces/control_tools_faces69.jpg,3185,2325,AL914,0
3,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_injection_hands/substance_injection_hands080.jpg,5985,3900,AR005,99
3,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_hands/substance_hands032.jpg,13240,6020,AW709,78
3,"<p>How much can this picture induce drug craving in an active methamphetamine user</p>",/static/substance_instruments_hands/substance_instruments_hands057.jpg,6095,4830,AQ029,99
3,"<p>How frequently does an active methamphetamine user see scenes like this image during his/her methamphetamine use?</p>",/static/control_objects/control_objects11.jpg,6480,4580,AR560,23
